ProductId,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL
4729,Boys,Apparel,Topwear,Tshirts,Green,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,4729.jpg,http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg
8322,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,8322.jpg,http://assets.myntassets.com/v1/images/style/properties/117451d5bf32c9ec341a6dfd0c28121a_images.jpg
34036,Boys,Apparel,Topwear,Shirts,Blue,Casual,Palm Tree Boys Check Blue Shirt,34036.jpg,http://assets.myntassets.com/v1/images/style/properties/17d5cdd77de6f87ee2451b98f3466d88_images.jpg
8325,Boys,Apparel,Topwear,Tshirts,Yellow,Casual,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear,8325.jpg,http://assets.myntassets.com/v1/images/style/properties/e046ebf7dbb7ae5d9dd7980c21d264ac_images.jpg
40947,Boys,Apparel,Topwear,Tshirts,Red,Casual,Gini and Jony Boys Core Red T-shirt,40947.jpg,http://assets.myntassets.com/v1/images/style/properties/ecfcc90e4ae597955732adf2680b9fa3_images.jpg
34031,Boys,Apparel,Topwear,Shirts,Blue,Casual,Gini and Jony Boys Check Blue Shirt,34031.jpg,http://assets.myntassets.com/v1/images/style/properties/0f5f0082a3413804e4f2adc80d59a3bb_images.jpg
40978,Boys,Apparel,Topwear,Tshirts,Red,Casual,Gini and Jony Boys United Red T-shirt,40978.jpg,http://assets.myntassets.com/v1/images/style/properties/4fb51b6af9daa7d7e7b37a54ee98d6a8_images.jpg
34038,Boys,Apparel,Topwear,Shirts,Red,Casual,Gini and Jony Boys Check Red Shirt,34038.jpg,http://assets.myntassets.com/v1/images/style/properties/95b4fd12eab9acd511b805a11601c92c_images.jpg
40985,Boys,Apparel,Topwear,Tshirts,White,Casual,Gini and Jony Boys United White T-shirt,40985.jpg,http://assets.myntassets.com/v1/images/style/properties/9ba6a4c84ec057a0ccd9a1a559b16531_images.jpg
31111,Boys,Apparel,Bottomwear,Jeans,Black,Casual,Gini and Jony Boys Solid Black Jeans,31111.jpg,http://assets.myntassets.com/v1/images/style/properties/50aba4c7dbee879034bee18e8fa647f1_images.jpg
10054,Boys,Apparel,Topwear,Tshirts,Blue,Sports,Reebok Kids Kkr Boy's Premium Blue Jerseys,10054.jpg,http://assets.myntassets.com/v1/images/style/properties/dd87d19692f01880e34a6cf2b0bd9b22_images.jpg
17615,Boys,Apparel,Topwear,Tshirts,White,Casual,Doodle Boys living Upto White Tshirt,17615.jpg,http://assets.myntassets.com/v1/images/style/properties/1cbaf5223bd7a31025df3c3aa9a6d7f5_images.jpg
4727,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Disney Kids Boy's Regatta Annual Blue Teen Kidswear,4727.jpg,http://assets.myntassets.com/v1/images/style/properties/0e06cb945b450950e57486e8aba7983e_images.jpg
40982,Boys,Apparel,Topwear,Tshirts,White,Casual,Gini and Jony Boys Core White T-shirt,40982.jpg,http://assets.myntassets.com/v1/images/style/properties/2d9821d0bebe8b01d0ffa8a1a2a6532a_images.jpg
40949,Boys,Apparel,Topwear,Tshirts,White,Casual,Gini and Jony Boys Around the World White T-shirt,40949.jpg,http://assets.myntassets.com/v1/images/style/properties/70249f9c9d37d5a4697322c99442274c_images.jpg
25516,Boys,Apparel,Topwear,Tshirts,Red,Casual,Doodle Kids Boys Airfeild Red T-Shirt,25516.jpg,http://assets.myntassets.com/v1/images/style/properties/3c9919c2a4f5f59683ab4df140056bad_images.jpg
31116,Boys,Apparel,Bottomwear,Shorts,Grey,Casual,Gini and Jony Boys Grey Shorts,31116.jpg,http://assets.myntassets.com/v1/images/style/properties/ab13e5576f1a6b597ca99514da15fec6_images.jpg
15575,Boys,Apparel,Topwear,Tshirts,Yellow,Casual,Chhota Bheem Kids Boys Best Friends Group TShirt,15575.jpg,http://assets.myntassets.com/v1/images/style/properties/6bea21f64300509aa71241bf1c5718c5_images.jpg
37625,Boys,Apparel,Topwear,Tshirts,White,Casual,Madagascar3 Boys White Printed T-Shirt,37625.jpg,http://assets.myntassets.com/v1/images/style/properties/43e0c211ed17299de07469922aea1f1b_images.jpg
34054,Boys,Apparel,Bottomwear,Capris,Blue,Casual,Palm Tree Boys Washed Blue 3/4 Length Pants,34054.jpg,http://assets.myntassets.com/v1/images/style/properties/4a2a1ce049f358b88f551bbe27fcdfdb_images.jpg
40922,Boys,Apparel,Topwear,Jackets,Blue,Casual,Gini and Jony Boys Rodeo Blue Jacket,40922.jpg,http://assets.myntassets.com/v1/images/style/properties/2a9bee8aea9497479e99de667d770008_images.jpg
29176,Boys,Apparel,Bottomwear,Shorts,Khaki,Casual,United Colors of Benetton Boys Khaki Shorts,29176.jpg,http://assets.myntassets.com/v1/images/style/properties/0306ed2619dc70f26359986b5ed7a8a0_images.jpg
8340,Boys,Apparel,Topwear,Tshirts,Black,Casual,Doodle Boy's Volleyball Champion Black White Kidswear,8340.jpg,http://assets.myntassets.com/v1/images/style/properties/8bf8c2293d894430bb7066404c8022a5_images.jpg
38494,Boys,Apparel,Topwear,Tshirts,Green,Casual,Gini and Jony Boys United Green T-shirt,38494.jpg,http://assets.myntassets.com/v1/images/style/properties/76787f70a91d57f216c5f01ac354482c_images.jpg
34053,Boys,Apparel,Bottomwear,Capris,Yellow,Casual,Gini and Jony Boys Yellow 3/4 Length Pants,34053.jpg,http://assets.myntassets.com/v1/images/style/properties/ed972b8708185e04d4cbbc475fee3bff_images.jpg
34261,Boys,Apparel,Topwear,Tshirts,Red,Casual,Gini and Jony Boys Printed Red T-shirt,34261.jpg,http://assets.myntassets.com/v1/images/style/properties/a20a57e8af2cf39276d729e58ee2b8e4_images.jpg
15572,Boys,Apparel,Topwear,Tshirts,Orange,Casual,Chhota Bheem Kids Boys Warrior Bheem TShirt,15572.jpg,http://assets.myntassets.com/v1/images/style/properties/9f7996b39eff7e74e9773c9ba46e7eb4_images.jpg
37622,Boys,Apparel,Topwear,Tshirts,Red,Casual,Madagascar3 Boys Red Printed T-Shirt,37622.jpg,http://assets.myntassets.com/v1/images/style/properties/b1e8c0ae9ed06b30c9916460f110d1d0_images.jpg
40126,Boys,Apparel,Bottomwear,Shorts,White,Casual,Gini and Jony Boys Boxer White Shorts,40126.jpg,http://assets.myntassets.com/v1/images/style/properties/ff9ba2b75d61b477c14fe698ae212314_images.jpg
38493,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Gini and Jony Boys Core Blue T-shirt,38493.jpg,http://assets.myntassets.com/v1/images/style/properties/640863ffa96dd3df02a39acbab0167dd_images.jpg
39317,Boys,Apparel,Topwear,Tshirts,White,Casual,Gini and Jony Boys Printed White T-shirt,39317.jpg,http://assets.myntassets.com/v1/images/style/properties/93e1608565f30617ce285c380b54b109_images.jpg
40925,Boys,Apparel,Bottomwear,Jeans,Blue,Casual,Gini and Jony Boys Comics Blue Jeans,40925.jpg,http://assets.myntassets.com/v1/images/style/properties/6303d1b19005036148228a9f8ae5bbab_images.jpg
36199,Boys,Apparel,Topwear,Tshirts,Black,Casual,Gini Jony Boys Polo Black T-Shirt,36199.jpg,http://assets.myntassets.com/v1/images/style/properties/b2eb91069cd2c8104915fe349647a6ac_images.jpg
34098,Boys,Apparel,Topwear,Shirts,Multi,Casual,Doodle Boys Check Multi Coloured Shirt,34098.jpg,http://assets.myntassets.com/v1/images/style/properties/d4f2090a2b6fdc38abeddef4bf53d388_images.jpg
30603,Boys,Apparel,Bottomwear,Shorts,Maroon,Sports,Nike Boys Basketball Red Shorts,30603.jpg,http://assets.myntassets.com/v1/images/style/properties/fb545a86912235fbd568a93f7fb3f12d_images.jpg
39745,Boys,Apparel,Bottomwear,Shorts,Blue,Casual,Gini Jony Boys Blue Shorts,39745.jpg,http://assets.myntassets.com/v1/images/style/properties/bccf1b8ee74179b0b8465bcfdf80f46c_images.jpg
34096,Boys,Apparel,Topwear,Tshirts,Red,Casual,Doodle Boys Printed Red T-shirt,34096.jpg,http://assets.myntassets.com/v1/images/style/properties/3e6a58290fd29169219cde7004466a6e_images.jpg
39319,Boys,Apparel,Bottomwear,Shorts,Beige,Casual,Gini and Jony Boys Beige Shorts,39319.jpg,http://assets.myntassets.com/v1/images/style/properties/4ce9548aa8e6ee3e2bbfde35def4c973_images.jpg
8349,Boys,Apparel,Topwear,Tshirts,Green,Casual,Doodle Boy's I love Driving Green Kidswear,8349.jpg,http://assets.myntassets.com/v1/images/style/properties/5cbef27663ae84b8178d2d03c8a04414_images.jpg
50715,Boys,Apparel,Topwear,Tshirts,White,Casual,Doodle Boys White Printed T-Shirt,50715.jpg,http://assets.myntassets.com/v1/images/style/properties/37361e7b815ded3efcb96f41f4fd21d7_images.jpg
33278,Boys,Apparel,Bottomwear,Jeans,Blue,Casual,Gini and Jony Boys Washed Blue Jeans,33278.jpg,http://assets.myntassets.com/v1/images/style/properties/40e9125037b469e4cfead36e346ce79a_images.jpg
40983,Boys,Apparel,Topwear,Tshirts,White,Casual,Gini and Jony Boys United White T-shirt,40983.jpg,http://assets.myntassets.com/v1/images/style/properties/c7b223c669e7a5cded10f449878b520c_images.jpg
40977,Boys,Apparel,Topwear,Tshirts,Green,Casual,Gini and Jony Boys Core Green T-shirt,40977.jpg,http://assets.myntassets.com/v1/images/style/properties/3afcff662537315d2576a28b607e4d52_images.jpg
17613,Boys,Apparel,Topwear,Tshirts,Red,Casual,Doodle Boys Catch Me Red Tshirt,17613.jpg,http://assets.myntassets.com/v1/images/style/properties/6894b15fa33062c4eaf6e7d0947d4160_images.jpg
40948,Boys,Apparel,Topwear,Tshirts,White,Casual,Gini and Jony Boys Rodeo T-shirt,40948.jpg,http://assets.myntassets.com/v1/images/style/properties/fe8775fcdb7661638a51d938f46fccc2_images.jpg
4721,Boys,Apparel,Topwear,Tshirts,Red,Casual,Disney Kids Boy's Royal Sailing Red Teen Kidswear,4721.jpg,http://assets.myntassets.com/v1/images/style/properties/6714d2ec4fa832ecbafb741dcc94bd77_images.jpg
34039,Boys,Apparel,Topwear,Shirts,Red,Casual,Palm Tree Boys Check Red Shirt,34039.jpg,http://assets.myntassets.com/v1/images/style/properties/df2f1f0a16ea4432a390ba9c9eafd984_images.jpg
40984,Boys,Apparel,Topwear,Tshirts,White,Casual,Gini and Jony Boys United White T-shirt,40984.jpg,http://assets.myntassets.com/v1/images/style/properties/c133118bb39001ed78914f5e53f83c4f_images.jpg
4726,Boys,Apparel,Topwear,Tshirts,White,Casual,Disney Kids Boy's Regatta Annual White Teen Kidswear,4726.jpg,http://assets.myntassets.com/v1/images/style/properties/c88c4ff09b0edee278a407a0eaff1790_images.jpg
17614,Boys,Apparel,Topwear,Tshirts,Black,Casual,Doodle Boys Cycle Black Tshirt,17614.jpg,http://assets.myntassets.com/v1/images/style/properties/09dd35df9cf46ee4b0e00f3d809e93bf_images.jpg
31110,Boys,Apparel,Bottomwear,Jeans,Grey,Casual,Gini and Jony Boys Washed Grey Jeans,31110.jpg,http://assets.myntassets.com/v1/images/style/properties/4a9a9309c7db5937d1de4aeb953d3d60_images.jpg
8324,Boys,Apparel,Topwear,Tshirts,White,Casual,Doodle Boy's Athletic 77 Dept White Kidswear,8324.jpg,http://assets.myntassets.com/v1/images/style/properties/4c5a824570499b10fd868889c206f799_images.jpg
